DNA Pattern Finder Report
Source file: BRCA1_FASTA.txt

Sequence length: 126033 bases
A: 35147    C: 27208    G: 28369    T: 35309
GC content: 44.1%

Last motif searched: (none)
Motif occurrences: n/a

Number of ORFs found (forward strand): 1891
1) start: 251, stop: 460, length: 210 bases
91) start: 6782, stop: 6793, length: 12 bases
92) start: 6794, stop: 6850, length: 57 bases
93) start: 6896, stop: 6901, length: 6 bases
94) start: 6947, stop: 6955, length: 9 bases
95) start: 6967, stop: 7209, length: 243 bases
96) start: 7019, stop: 7057, length: 39 bases
97) start: 7039, stop: 7209, length: 171 bases
98) start: 7225, stop: 7236, length: 12 bases
99) start: 7242, stop: 7283, length: 42 bases
100) start: 7272, stop: 7283, length: 12 bases
101) start: 7303, stop: 7308, length: 6 bases
102) start: 7583, stop: 7702, length: 120 bases
103) start: 7733, stop: 7762, length: 30 bases
104) start: 7781, stop: 7858, length: 78 bases
105) start: 7800, stop: 7805, length: 6 bases
106) start: 7826, stop: 7858, length: 33 bases
107) start: 7835, stop: 7858, length: 24 bases
108) start: 7855, stop: 8037, length: 183 bases
109) start: 7910, stop: 7918, length: 9 bases
110) start: 7915, stop: 8037, length: 123 bases
111) start: 7979, stop: 8011, length: 33 bases
112) start: 8050, stop: 8127, length: 78 bases
113) start: 8100, stop: 8105, length: 6 bases
114) start: 8148, stop: 8270, length: 123 bases
115) start: 8185, stop: 8223, length: 39 bases
116) start: 8210, stop: 8215, length: 6 bases
117) start: 8290, stop: 8304, length: 15 bases
118) start: 8345, stop: 8356, length: 12 bases
119) start: 8377, stop: 8388, length: 12 bases
120) start: 8380, stop: 8388, length: 9 bases
121) start: 8389, stop: 8400, length: 12 bases
122) start: 8449, stop: 8454, length: 6 bases
123) start: 8477, stop: 8560, length: 84 bases
124) start: 8482, stop: 8502, length: 21 bases
125) start: 8486, stop: 8560, length: 75 bases
126) start: 8513, stop: 8560, length: 48 bases
127) start: 8519, stop: 8560, length: 42 bases
128) start: 8560, stop: 8607, length: 48 bases
129) start: 8680, stop: 8721, length: 42 bases
130) start: 8800, stop: 8811, length: 12 bases
131) start: 8917, stop: 8952, length: 36 bases
132) start: 8957, stop: 9052, length: 96 bases
133) start: 8964, stop: 8975, length: 12 bases
134) start: 8993, stop: 9052, length: 60 bases
135) start: 9017, stop: 9052, length: 36 bases
136) start: 9049, stop: 9060, length: 12 bases
137) start: 9142, stop: 9531, length: 390 bases
138) start: 9149, stop: 9172, length: 24 bases
139) start: 9286, stop: 9531, length: 246 bases
140) start: 9302, stop: 9370, length: 69 bases
141) start: 9323, stop: 9370, length: 48 bases
142) start: 9343, stop: 9531, length: 189 bases
143) start: 9354, stop: 9380, length: 27 bases
144) start: 9457, stop: 9531, length: 75 bases
145) start: 9494, stop: 9520, length: 27 bases
146) start: 9550, stop: 9588, length: 39 bases
147) start: 9563, stop: 9610, length: 48 bases
148) start: 9639, stop: 9674, length: 36 bases
149) start: 9691, stop: 9762, length: 72 bases
150) start: 9769, stop: 9945, length: 177 bases
151) start: 10006, stop: 10020, length: 15 bases
152) start: 10181, stop: 10189, length: 9 bases
153) start: 10224, stop: 10316, length: 93 bases
154) start: 10288, stop: 10392, length: 105 bases
155) start: 10292, stop: 10360, length: 69 bases
156) start: 10304, stop: 10360, length: 57 bases
157) start: 10665, stop: 10703, length: 39 bases
158) start: 10681, stop: 10785, length: 105 bases
159) start: 10703, stop: 10708, length: 6 bases
160) start: 11067, stop: 11396, length: 330 bases
161) start: 11215, stop: 11226, length: 12 bases
162) start: 11275, stop: 11304, length: 30 bases
163) start: 11355, stop: 11396, length: 42 bases
164) start: 11375, stop: 11383, length: 9 bases
165) start: 11511, stop: 11516, length: 6 bases
166) start: 11516, stop: 11608, length: 93 bases
167) start: 11548, stop: 11553, length: 6 bases
168) start: 11586, stop: 11612, length: 27 bases
169) start: 11706, stop: 11726, length: 21 bases
170) start: 11816, stop: 11902, length: 87 bases
171) start: 11844, stop: 11906, length: 63 bases
172) start: 11865, stop: 11906, length: 42 bases
173) start: 12012, stop: 12023, length: 12 bases
174) start: 12058, stop: 12177, length: 120 bases
175) start: 12127, stop: 12177, length: 51 bases
176) start: 12151, stop: 12177, length: 27 bases
177) start: 12166, stop: 12177, length: 12 bases
178) start: 12215, stop: 12220, length: 6 bases
179) start: 12223, stop: 12312, length: 90 bases
180) start: 12233, stop: 12307, length: 75 bases
181) start: 12265, stop: 12312, length: 48 bases
182) start: 12372, stop: 12419, length: 48 bases
183) start: 12460, stop: 12480, length: 21 bases
184) start: 12514, stop: 12597, length: 84 bases
185) start: 12636, stop: 12749, length: 114 bases
186) start: 12770, stop: 12781, length: 12 bases
187) start: 12814, stop: 12834, length: 21 bases
188) start: 12825, stop: 12842, length: 18 bases
189) start: 12927, stop: 12938, length: 12 bases
190) start: 12945, stop: 12962, length: 18 bases
191) start: 12949, stop: 13008, length: 60 bases
192) start: 12964, stop: 13008, length: 45 bases
193) start: 13023, stop: 13031, length: 9 bases
194) start: 13033, stop: 13038, length: 6 bases
195) start: 13048, stop: 13110, length: 63 bases
196) start: 13201, stop: 13239, length: 39 bases
197) start: 13241, stop: 13276, length: 36 bases
198) start: 13322, stop: 13372, length: 51 bases
199) start: 13521, stop: 13574, length: 54 bases
200) start: 13603, stop: 13629, length: 27 bases
201) start: 13619, stop: 13669, length: 51 bases
202) start: 13664, stop: 13669, length: 6 bases
203) start: 13859, stop: 13933, length: 75 bases
204) start: 14003, stop: 14041, length: 39 bases
205) start: 14066, stop: 14284, length: 219 bases
206) start: 14095, stop: 14148, length: 54 bases
207) start: 14229, stop: 14240, length: 12 bases
208) start: 14406, stop: 14543, length: 138 bases
209) start: 14454, stop: 14543, length: 90 bases
210) start: 14592, stop: 14723, length: 132 bases
211) start: 14639, stop: 14680, length: 42 bases
212) start: 14647, stop: 14658, length: 12 bases
213) start: 14887, stop: 14925, length: 39 bases
214) start: 14947, stop: 14976, length: 30 bases
215) start: 14957, stop: 15043, length: 87 bases
216) start: 15002, stop: 15043, length: 42 bases
217) start: 15012, stop: 15170, length: 159 bases
218) start: 15229, stop: 15279, length: 51 bases
219) start: 15288, stop: 15377, length: 90 bases
220) start: 15307, stop: 15366, length: 60 bases
221) start: 15352, stop: 15366, length: 15 bases
222) start: 15445, stop: 15513, length: 69 bases
223) start: 15568, stop: 15573, length: 6 bases
224) start: 15676, stop: 15846, length: 171 bases
225) start: 15693, stop: 15713, length: 21 bases
226) start: 15724, stop: 15846, length: 123 bases
227) start: 15739, stop: 15846, length: 108 bases
228) start: 15848, stop: 16108, length: 261 bases
229) start: 15982, stop: 15993, length: 12 bases
230) start: 16014, stop: 16064, length: 51 bases
231) start: 16027, stop: 16056, length: 30 bases
232) start: 16269, stop: 16427, length: 159 bases
233) start: 16324, stop: 16344, length: 21 bases
234) start: 16336, stop: 16344, length: 9 bases
235) start: 16404, stop: 16427, length: 24 bases
236) start: 16500, stop: 16517, length: 18 bases
237) start: 16656, stop: 16685, length: 30 bases
238) start: 17120, stop: 17245, length: 126 bases
239) start: 17135, stop: 17245, length: 111 bases
240) start: 17164, stop: 17190, length: 27 bases
241) start: 17431, stop: 17586, length: 156 bases
242) start: 17611, stop: 17622, length: 12 bases
243) start: 17645, stop: 17695, length: 51 bases
244) start: 17670, stop: 17687, length: 18 bases
245) start: 17792, stop: 17821, length: 30 bases
246) start: 17861, stop: 17971, length: 111 bases
247) start: 17949, stop: 17996, length: 48 bases
248) start: 17964, stop: 17996, length: 33 bases
249) start: 17972, stop: 18013, length: 42 bases
250) start: 18150, stop: 18164, length: 15 bases
251) start: 18201, stop: 18215, length: 15 bases
252) start: 18243, stop: 18383, length: 141 bases
253) start: 18324, stop: 18383, length: 60 bases
254) start: 18327, stop: 18383, length: 57 bases
255) start: 18346, stop: 18432, length: 87 bases
256) start: 18350, stop: 18355, length: 6 bases
257) start: 18383, stop: 18514, length: 132 bases
258) start: 18412, stop: 18432, length: 21 bases
259) start: 18570, stop: 18581, length: 12 bases
260) start: 18608, stop: 18718, length: 111 bases
261) start: 18621, stop: 18704, length: 84 bases
262) start: 18684, stop: 18704, length: 21 bases
263) start: 18701, stop: 18718, length: 18 bases
264) start: 18766, stop: 18777, length: 12 bases
265) start: 18876, stop: 19034, length: 159 bases
266) start: 18888, stop: 19034, length: 147 bases
267) start: 18918, stop: 19034, length: 117 bases
268) start: 18931, stop: 18960, length: 30 bases
269) start: 18995, stop: 19015, length: 21 bases
270) start: 19045, stop: 19074, length: 30 bases
271) start: 19055, stop: 19060, length: 6 bases
272) start: 19077, stop: 19109, length: 33 bases
273) start: 19126, stop: 19149, length: 24 bases
274) start: 19140, stop: 19145, length: 6 bases
275) start: 19190, stop: 19204, length: 15 bases
276) start: 19293, stop: 19319, length: 27 bases
277) start: 19334, stop: 19453, length: 120 bases
278) start: 19577, stop: 19600, length: 24 bases
279) start: 19634, stop: 19663, length: 30 bases
280) start: 19670, stop: 19714, length: 45 bases
281) start: 19762, stop: 19824, length: 63 bases
282) start: 19779, stop: 19799, length: 21 bases
283) start: 19796, stop: 19855, length: 60 bases
284) start: 19821, stop: 19910, length: 90 bases
285) start: 19836, stop: 19910, length: 75 bases
286) start: 19878, stop: 19910, length: 33 bases
287) start: 20017, stop: 20040, length: 24 bases
288) start: 20020, stop: 20040, length: 21 bases
289) start: 20150, stop: 20206, length: 57 bases
290) start: 20247, stop: 20321, length: 75 bases
291) start: 20257, stop: 20289, length: 33 bases
292) start: 20338, stop: 20361, length: 24 bases
293) start: 20459, stop: 20467, length: 9 bases
294) start: 20477, stop: 20611, length: 135 bases
295) start: 20639, stop: 20653, length: 15 bases
296) start: 20678, stop: 20698, length: 21 bases
297) start: 20727, stop: 20732, length: 6 bases
298) start: 20743, stop: 20793, length: 51 bases
299) start: 20812, stop: 20898, length: 87 bases
300) start: 20861, stop: 20956, length: 96 bases
301) start: 20892, stop: 20915, length: 24 bases
302) start: 20937, stop: 21008, length: 72 bases
303) start: 21010, stop: 21033, length: 24 bases
304) start: 21124, stop: 21132, length: 9 bases
305) start: 21129, stop: 21344, length: 216 bases
306) start: 21257, stop: 21298, length: 42 bases
307) start: 21293, stop: 21298, length: 6 bases
308) start: 21371, stop: 21454, length: 84 bases
309) start: 21382, stop: 21405, length: 24 bases
310) start: 21451, stop: 21471, length: 21 bases
311) start: 21463, stop: 21471, length: 9 bases
312) start: 21477, stop: 21683, length: 207 bases
313) start: 21510, stop: 21683, length: 174 bases
314) start: 21593, stop: 21607, length: 15 bases
315) start: 21656, stop: 21664, length: 9 bases
316) start: 21714, stop: 21758, length: 45 bases
317) start: 21793, stop: 21864, length: 72 bases
318) start: 21985, stop: 22017, length: 33 bases
319) start: 21989, stop: 22138, length: 150 bases
320) start: 22043, stop: 22138, length: 96 bases
321) start: 22077, stop: 22208, length: 132 bases
322) start: 22290, stop: 22400, length: 111 bases
323) start: 22337, stop: 22489, length: 153 bases
324) start: 22341, stop: 22400, length: 60 bases
325) start: 22537, stop: 22569, length: 33 bases
326) start: 22551, stop: 22556, length: 6 bases
327) start: 22620, stop: 22748, length: 129 bases
328) start: 22732, stop: 22788, length: 57 bases
329) start: 22819, stop: 22959, length: 141 bases
330) start: 23033, stop: 23041, length: 9 bases
331) start: 23323, stop: 23385, length: 63 bases
332) start: 23357, stop: 23419, length: 63 bases
333) start: 23375, stop: 23419, length: 45 bases
334) start: 23400, stop: 23414, length: 15 bases
335) start: 23416, stop: 23430, length: 15 bases
336) start: 23490, stop: 23567, length: 78 bases
337) start: 23707, stop: 23712, length: 6 bases
338) start: 23732, stop: 23770, length: 39 bases
339) start: 23863, stop: 23904, length: 42 bases
340) start: 23914, stop: 23922, length: 9 bases
341) start: 24147, stop: 24188, length: 42 bases
342) start: 24163, stop: 24192, length: 30 bases
343) start: 24167, stop: 24220, length: 54 bases
344) start: 24194, stop: 24220, length: 27 bases
345) start: 24276, stop: 24377, length: 102 bases
346) start: 24362, stop: 24382, length: 21 bases
347) start: 24368, stop: 24382, length: 15 bases
348) start: 24384, stop: 24680, length: 297 bases
349) start: 24400, stop: 24411, length: 12 bases
350) start: 24431, stop: 24460, length: 30 bases
351) start: 24470, stop: 24481, length: 12 bases
352) start: 24475, stop: 24486, length: 12 bases
353) start: 24567, stop: 24680, length: 114 bases
354) start: 24607, stop: 24615, length: 9 bases
355) start: 24612, stop: 24680, length: 69 bases
356) start: 24640, stop: 24684, length: 45 bases
357) start: 24797, stop: 24805, length: 9 bases
358) start: 24848, stop: 24886, length: 39 bases
359) start: 24896, stop: 24904, length: 9 bases
360) start: 25057, stop: 25296, length: 240 bases
361) start: 25064, stop: 25165, length: 102 bases
362) start: 25332, stop: 25529, length: 198 bases
363) start: 25490, stop: 25525, length: 36 bases
364) start: 25526, stop: 25573, length: 48 bases
365) start: 25570, stop: 25632, length: 63 bases
366) start: 25580, stop: 25636, length: 57 bases
367) start: 25645, stop: 25653, length: 9 bases
368) start: 25663, stop: 25674, length: 12 bases
369) start: 25681, stop: 25692, length: 12 bases
370) start: 26025, stop: 26273, length: 249 bases
371) start: 26029, stop: 26298, length: 270 bases
372) start: 26033, stop: 26053, length: 21 bases
373) start: 26047, stop: 26298, length: 252 bases
374) start: 26075, stop: 26107, length: 33 bases
375) start: 26109, stop: 26273, length: 165 bases
376) start: 26243, stop: 26254, length: 12 bases
377) start: 26304, stop: 26321, length: 18 bases
378) start: 26595, stop: 26624, length: 30 bases
379) start: 26609, stop: 26707, length: 99 bases
380) start: 26635, stop: 26712, length: 78 bases
381) start: 26718, stop: 26750, length: 33 bases
382) start: 26751, stop: 26768, length: 18 bases
383) start: 26788, stop: 26832, length: 45 bases
384) start: 26937, stop: 27014, length: 78 bases
385) start: 26949, stop: 27014, length: 66 bases
386) start: 27017, stop: 27088, length: 72 bases
387) start: 27096, stop: 27155, length: 60 bases
388) start: 27106, stop: 27180, length: 75 bases
389) start: 27186, stop: 27230, length: 45 bases
390) start: 27313, stop: 27447, length: 135 bases
391) start: 27428, stop: 27469, length: 42 bases
392) start: 27438, stop: 27512, length: 75 bases
393) start: 27651, stop: 27695, length: 45 bases
394) start: 27687, stop: 27695, length: 9 bases
395) start: 27707, stop: 27718, length: 12 bases
396) start: 27906, stop: 27950, length: 45 bases
397) start: 27944, stop: 28252, length: 309 bases
398) start: 27953, stop: 28252, length: 300 bases
399) start: 27956, stop: 28252, length: 297 bases
400) start: 28213, stop: 28236, length: 24 bases
401) start: 28259, stop: 28300, length: 42 bases
402) start: 28265, stop: 28300, length: 36 bases
403) start: 28511, stop: 28735, length: 225 bases
404) start: 28685, stop: 28735, length: 51 bases
405) start: 28698, stop: 28727, length: 30 bases
406) start: 28710, stop: 28727, length: 18 bases
407) start: 28828, stop: 28872, length: 45 bases
408) start: 28839, stop: 28859, length: 21 bases
409) start: 28872, stop: 28910, length: 39 bases
410) start: 28987, stop: 29097, length: 111 bases
411) start: 28997, stop: 29050, length: 54 bases
412) start: 29027, stop: 29050, length: 24 bases
413) start: 29142, stop: 29183, length: 42 bases
414) start: 29226, stop: 29237, length: 12 bases
415) start: 29347, stop: 29409, length: 63 bases
416) start: 29369, stop: 29560, length: 192 bases
417) start: 29406, stop: 29417, length: 12 bases
418) start: 29409, stop: 29417, length: 9 bases
419) start: 29422, stop: 29433, length: 12 bases
420) start: 29441, stop: 29560, length: 120 bases
421) start: 29444, stop: 29560, length: 117 bases
422) start: 29457, stop: 29507, length: 51 bases
423) start: 29504, stop: 29560, length: 57 bases
424) start: 29513, stop: 29560, length: 48 bases
425) start: 29520, stop: 29591, length: 72 bases
426) start: 29647, stop: 29778, length: 132 bases
427) start: 29711, stop: 29719, length: 9 bases
428) start: 29901, stop: 29924, length: 24 bases
429) start: 30047, stop: 30079, length: 33 bases
430) start: 30059, stop: 30079, length: 21 bases
431) start: 30128, stop: 30208, length: 81 bases
432) start: 30132, stop: 30257, length: 126 bases
433) start: 30159, stop: 30257, length: 99 bases
434) start: 30205, stop: 30297, length: 93 bases
435) start: 30241, stop: 30297, length: 57 bases
436) start: 30248, stop: 30280, length: 33 bases
437) start: 30335, stop: 30493, length: 159 bases
438) start: 30359, stop: 30493, length: 135 bases
439) start: 30434, stop: 30493, length: 60 bases
440) start: 30483, stop: 30569, length: 87 bases
441) start: 30570, stop: 30794, length: 225 bases
442) start: 30573, stop: 30794, length: 222 bases
443) start: 30771, stop: 30794, length: 24 bases
444) start: 30866, stop: 30874, length: 9 bases
445) start: 31022, stop: 31027, length: 6 bases
446) start: 31058, stop: 31075, length: 18 bases
447) start: 31127, stop: 31213, length: 87 bases
448) start: 31155, stop: 31199, length: 45 bases
449) start: 31234, stop: 31290, length: 57 bases
450) start: 31425, stop: 31523, length: 99 bases
451) start: 31509, stop: 31523, length: 15 bases
452) start: 31565, stop: 31873, length: 309 bases
453) start: 31646, stop: 31873, length: 228 bases
454) start: 31691, stop: 31873, length: 183 bases
455) start: 31695, stop: 31703, length: 9 bases
456) start: 31700, stop: 31873, length: 174 bases
457) start: 31741, stop: 31944, length: 204 bases
458) start: 31837, stop: 31944, length: 108 bases
459) start: 31859, stop: 31873, length: 15 bases
460) start: 31931, stop: 31939, length: 9 bases
461) start: 31985, stop: 32002, length: 18 bases
462) start: 31999, stop: 32046, length: 48 bases
463) start: 32075, stop: 32251, length: 177 bases
464) start: 32147, stop: 32251, length: 105 bases
465) start: 32178, stop: 32363, length: 186 bases
466) start: 32183, stop: 32251, length: 69 bases
467) start: 32269, stop: 32493, length: 225 bases
468) start: 32279, stop: 32290, length: 12 bases
469) start: 32324, stop: 32353, length: 30 bases
470) start: 32457, stop: 32498, length: 42 bases
471) start: 32495, stop: 32560, length: 66 bases
472) start: 32535, stop: 32564, length: 30 bases
473) start: 32589, stop: 32600, length: 12 bases
474) start: 32633, stop: 32659, length: 27 bases
475) start: 32710, stop: 32775, length: 66 bases
476) start: 32786, stop: 32797, length: 12 bases
477) start: 32798, stop: 32896, length: 99 bases
478) start: 32812, stop: 32913, length: 102 bases
479) start: 32926, stop: 32955, length: 30 bases
480) start: 32969, stop: 32992, length: 24 bases
481) start: 33022, stop: 33057, length: 36 bases
482) start: 33071, stop: 33172, length: 102 bases
483) start: 33119, stop: 33172, length: 54 bases
484) start: 33127, stop: 33237, length: 111 bases
485) start: 33169, stop: 33237, length: 69 bases
486) start: 33172, stop: 33237, length: 66 bases
487) start: 33191, stop: 33211, length: 21 bases
488) start: 33208, stop: 33237, length: 30 bases
489) start: 33244, stop: 33366, length: 123 bases
490) start: 33253, stop: 33366, length: 114 bases
491) start: 33287, stop: 33325, length: 39 bases
492) start: 33337, stop: 33366, length: 30 bases
493) start: 33371, stop: 33448, length: 78 bases
494) start: 33394, stop: 33480, length: 87 bases
495) start: 33404, stop: 33448, length: 45 bases
496) start: 33422, stop: 33448, length: 27 bases
497) start: 33473, stop: 33568, length: 96 bases
498) start: 33501, stop: 33509, length: 9 bases
499) start: 33561, stop: 33671, length: 111 bases
500) start: 33587, stop: 33634, length: 48 bases
501) start: 33615, stop: 33671, length: 57 bases
502) start: 33624, stop: 33671, length: 48 bases
503) start: 33634, stop: 33720, length: 87 bases
504) start: 33637, stop: 33720, length: 84 bases
505) start: 33651, stop: 33671, length: 21 bases
506) start: 33672, stop: 33746, length: 75 bases
507) start: 33720, stop: 33746, length: 27 bases
508) start: 33793, stop: 33807, length: 15 bases
509) start: 33845, stop: 33970, length: 126 bases
510) start: 33941, stop: 33970, length: 30 bases
511) start: 33962, stop: 33970, length: 9 bases
512) start: 33971, stop: 34060, length: 90 bases
513) start: 34004, stop: 34060, length: 57 bases
514) start: 34019, stop: 34060, length: 42 bases
515) start: 34097, stop: 34408, length: 312 bases
516) start: 34117, stop: 34134, length: 18 bases
517) start: 34338, stop: 34601, length: 264 bases
518) start: 34447, stop: 34713, length: 267 bases
519) start: 34528, stop: 34713, length: 186 bases
520) start: 34547, stop: 34651, length: 105 bases
521) start: 34687, stop: 34713, length: 27 bases
522) start: 34742, stop: 34828, length: 87 bases
523) start: 34761, stop: 34823, length: 63 bases
524) start: 34820, stop: 34828, length: 9 bases
525) start: 34825, stop: 34839, length: 15 bases
526) start: 34917, stop: 35102, length: 186 bases
527) start: 35227, stop: 35346, length: 120 bases
528) start: 35300, stop: 35323, length: 24 bases
529) start: 35318, stop: 35323, length: 6 bases
530) start: 35532, stop: 35609, length: 78 bases
531) start: 35547, stop: 35609, length: 63 bases
532) start: 35615, stop: 35650, length: 36 bases
533) start: 35643, stop: 35663, length: 21 bases
534) start: 35796, stop: 35861, length: 66 bases
535) start: 35848, stop: 36054, length: 207 bases
536) start: 36034, stop: 36054, length: 21 bases
537) start: 36058, stop: 36279, length: 222 bases
538) start: 36065, stop: 36139, length: 75 bases
539) start: 36093, stop: 36119, length: 27 bases
540) start: 36097, stop: 36279, length: 183 bases
541) start: 36109, stop: 36279, length: 171 bases
542) start: 36116, stop: 36139, length: 24 bases
543) start: 36140, stop: 36172, length: 33 bases
544) start: 36167, stop: 36172, length: 6 bases
545) start: 36257, stop: 36262, length: 6 bases
546) start: 36292, stop: 36339, length: 48 bases
547) start: 36492, stop: 36515, length: 24 bases
548) start: 36582, stop: 36596, length: 15 bases
549) start: 36631, stop: 36747, length: 117 bases
550) start: 36722, stop: 36736, length: 15 bases
551) start: 36819, stop: 36830, length: 12 bases
552) start: 36888, stop: 36923, length: 36 bases
553) start: 36910, stop: 37044, length: 135 bases
554) start: 36946, stop: 37044, length: 99 bases
555) start: 37113, stop: 37244, length: 132 bases
556) start: 37138, stop: 37230, length: 93 bases
557) start: 37145, stop: 37162, length: 18 bases
558) start: 37223, stop: 37351, length: 129 bases
559) start: 37227, stop: 37244, length: 18 bases
560) start: 37322, stop: 37351, length: 30 bases
561) start: 37459, stop: 37467, length: 9 bases
562) start: 37593, stop: 37733, length: 141 bases
563) start: 37849, stop: 37887, length: 39 bases
564) start: 37977, stop: 38060, length: 84 bases
565) start: 37983, stop: 38060, length: 78 bases
566) start: 38075, stop: 38272, length: 198 bases
567) start: 38207, stop: 38272, length: 66 bases
568) start: 38217, stop: 38222, length: 6 bases
569) start: 38232, stop: 38294, length: 63 bases
570) start: 38235, stop: 38294, length: 60 bases
571) start: 38256, stop: 38294, length: 39 bases
572) start: 38263, stop: 38280, length: 18 bases
573) start: 38343, stop: 38381, length: 39 bases
574) start: 38388, stop: 38429, length: 42 bases
575) start: 38398, stop: 38472, length: 75 bases
576) start: 38504, stop: 38515, length: 12 bases
577) start: 38793, stop: 38819, length: 27 bases
578) start: 38803, stop: 38967, length: 165 bases
579) start: 38809, stop: 38967, length: 159 bases
580) start: 38819, stop: 38962, length: 144 bases
581) start: 38878, stop: 38967, length: 90 bases
582) start: 38914, stop: 38967, length: 54 bases
583) start: 38959, stop: 38967, length: 9 bases
584) start: 39108, stop: 39143, length: 36 bases
585) start: 39156, stop: 39179, length: 24 bases
586) start: 39176, stop: 39205, length: 30 bases
587) start: 39215, stop: 39319, length: 105 bases
588) start: 39319, stop: 39489, length: 171 bases
589) start: 39427, stop: 39489, length: 63 bases
590) start: 39443, stop: 39556, length: 114 bases
591) start: 39448, stop: 39489, length: 42 bases
592) start: 39480, stop: 39542, length: 63 bases
593) start: 39499, stop: 39519, length: 21 bases
594) start: 39611, stop: 39742, length: 132 bases
595) start: 39660, stop: 39710, length: 51 bases
596) start: 39666, stop: 39710, length: 45 bases
597) start: 39683, stop: 39742, length: 60 bases
598) start: 39733, stop: 39807, length: 75 bases
